Aug 24 00:22:01 raspberrypi gud-drm[2360]: 2026-08-23T23:22:01.660094Z  INFO gud_drm: frame_stats payload_seq=826 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14493 output_bytes=3686400 read_size=14493 read_calls=1 first_request_bytes=14493 last_request_bytes=14493 usb_packets_est=29 compression=1 ratio=254.36 recv_ms=10 decompress_ms=4 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=8 usb_mib_s=1.38
Aug 24 00:22:01 raspberrypi gud-drm[2360]: 2026-08-23T23:22:01.660264Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=826 accepted_transactions=826 rejected_busy_transactions=0 aio_submission_attempts=826 aio_accepted=826 aio_completed=826 processing_started=826 processing_completed=826 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=826 last_sequence=826 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24738 processing_ms_total=11127 complete_transaction_ms_total=11128
Aug 24 00:22:02 raspberrypi gud-drm[2360]: 2026-08-23T23:22:02.645263Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=827 receiver_state=InFlight
Aug 24 00:22:02 raspberrypi gud-drm[2360]: 2026-08-23T23:22:02.665399Z  INFO gud_drm: frame_stats payload_seq=827 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14493 output_bytes=3686400 read_size=14493 read_calls=1 first_request_bytes=14493 last_request_bytes=14493 usb_packets_est=29 compression=1 ratio=254.36 recv_ms=10 decompress_ms=5 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=9 usb_mib_s=1.38
Aug 24 00:22:02 raspberrypi gud-drm[2360]: 2026-08-23T23:22:02.665564Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=827 accepted_transactions=827 rejected_busy_transactions=0 aio_submission_attempts=827 aio_accepted=827 aio_completed=827 processing_started=827 processing_completed=827 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=827 last_sequence=827 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24748 processing_ms_total=11136 complete_transaction_ms_total=11137
Aug 24 00:22:03 raspberrypi gud-drm[2360]: 2026-08-23T23:22:03.647097Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=828 receiver_state=InFlight
Aug 24 00:22:03 raspberrypi gud-drm[2360]: 2026-08-23T23:22:03.666184Z  INFO gud_drm: frame_stats payload_seq=828 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14493 output_bytes=3686400 read_size=14493 read_calls=1 first_request_bytes=14493 last_request_bytes=14493 usb_packets_est=29 compression=1 ratio=254.36 recv_ms=10 decompress_ms=4 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=8 usb_mib_s=1.38
Aug 24 00:22:03 raspberrypi gud-drm[2360]: 2026-08-23T23:22:03.666390Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=828 accepted_transactions=828 rejected_busy_transactions=0 aio_submission_attempts=828 aio_accepted=828 aio_completed=828 processing_started=828 processing_completed=828 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=828 last_sequence=828 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24758 processing_ms_total=11144 complete_transaction_ms_total=11145
Aug 24 00:22:08 raspberrypi gud-drm[2360]: 2026-08-23T23:22:08.411361Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=829 receiver_state=InFlight
Aug 24 00:22:08 raspberrypi gud-drm[2360]: 2026-08-23T23:22:08.434886Z  INFO gud_drm: frame_stats payload_seq=829 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=14467 output_bytes=3686400 read_size=14467 read_calls=1 first_request_bytes=14467 last_request_bytes=14467 usb_packets_est=29 compression=1 ratio=254.81 recv_ms=11 decompress_ms=7 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=12 usb_mib_s=1.25
Aug 24 00:22:08 raspberrypi gud-drm[2360]: 2026-08-23T23:22:08.435053Z  INFO gud_drm: cumulative production exact-AIO lifecycle telemetry event="production_receive_telemetry" set_buffer_seen=829 accepted_transactions=829 rejected_busy_transactions=0 aio_submission_attempts=829 aio_accepted=829 aio_completed=829 processing_started=829 processing_completed=829 processing_failed=0 poisoned_transactions=0 timed_out_transactions=0 lifecycle_events=2 cleanup_attempts=0 unsafe_teardown_suppressed=0 currently_owned=false aggregate_state=Idle aio_state=Idle current_or_last_sequence=829 last_sequence=829 validation_to_aio_accept_ms_total=431 aio_accept_to_status_readiness="logged per transaction by status_after_arm" receive_ms_total=24769 processing_ms_total=11156 complete_transaction_ms_total=11157
Aug 24 00:22:08 raspberrypi gud-drm[2360]: 2026-08-23T23:22:08.511525Z  INFO gud_drm: accepted valid SET_BUFFER and armed exactly one AIO request event="status_on_set_transaction_armed" transaction=0 transaction_limit=0 aio_sequence=830 receiver_state=InFlight
Aug 24 00:22:08 raspberrypi gud-drm[2360]: 2026-08-23T23:22:08.530887Z  INFO gud_drm: frame_stats payload_seq=830 transfer_format=xrgb8888 gud_format=0x80 bytes_per_pixel=4 rect=1280x720+0,0 source=1280x720 scaled=false transfer_bytes=15906 output_bytes=3686400 read_size=15906 read_calls=1 first_request_bytes=15906 last_request_bytes=15906 usb_packets_est=32 compression=1 ratio=231.76 recv_ms=10 decompress_ms=4 copy_ms=4 scale_ms=0 flush_ms=0 total_ms=8 usb_mib_s=1.52
